Manufacturer,Model,Price,Carrosserie,Fuel
Nissan,Ariya Elektrisch,"€ 649,-",SUV (5 deurs),Elektriciteit
Volvo,XC40,"€ 659,-",-,-
Lexus,UX 250h Hybrid,"€ 659,-",SUV (5 deurs),Hybride benzine
Mercedes-Benz,EQB Elektrisch,"€ 664,-",SUV (5 deurs),Elektriciteit
Cupra,Leon Sportstourer PHEV,"€ 664,-",Stationwagen (5 deurs),Elektriciteit / benzine
Volvo,C40 Recharge Elektrisch,"€ 669,-",SUV (5 deurs),Elektriciteit
Jeep,Compass PHEV,"€ 669,-",SUV  (5 deurs),Elektriciteit / benzine
Mercedes-Benz,CLA Coupe PHEV,"€ 669,-",Sedan (4 deurs),Elektriciteit/Benzine
Cupra,Formentor PHEV,"€ 669,-",SUV (5 deurs),Elektriciteit / benzine
MG,Marvel R Elektrisch,"€ 669,-",SUV (5 deurs),Elektriciteit
Mazda,6 Sportbreak,"€ 684,-",Stationwagen (5 deurs),Benzine
Mercedes-Benz,CLA Shooting Brake MHEV,"€ 689,-",Stationwagen (5 deurs),Benzine
Citroen,C5 X PHEV,"€ 689,-",-,-
Xpeng,P7 Elektrisch,"€ 699,-",Sedan (5 deurs),Elektriciteit
Toyota,RAV4 Hybrid,"€ 699,-",SUV (5 deurs),Hybride benzine
Polestar,2 Elektrisch,"€ 699,-",hatchback (5 deurs),Elektriciteit
BMW,X1,"€ 709,-",SUV (5 deurs),Benzine
Audi,Q4 e-tron Elektrisch,"€ 709,-",SUV (5 deurs),Elektriciteit
BMW,iX1 Elektrisch,"€ 714,-",SUV (5 deurs),Elektriciteit
Mercedes-Benz,CLA Shooting Brake PHEV,"€ 719,-",Stationwagen (5 deurs),Elektriciteit/Benzine
Skoda,Kodiaq,"€ 729,-",SUV ( 5 deurs),Benzine
Nissan,X-Trail Hybrid,"€ 729,-",SUV (5 deurs),Hybride benzine
Mazda,CX-60 PHEV,"€ 734,-",SUV (5 deurs),Elektriciteit / benzine
BMW,3 Serie Sedan PHEV,"€ 739,-",-,-
BMW,3 Serie Sedan,"€ 739,-",Sedan (4 deurs),Benzine
BMW,X1 PHEV,"€ 744,-",SUV (5 deurs),Elektriciteit / benzine
Peugeot,508 PHEV,"€ 749,-",Hatchback (5 deurs),Elektriciteit / benzine
Mercedes-Benz,C-Klasse Limousine PHEV,"€ 749,-",-,-
VinFast,VF 8 Elektrisch,"€ 749,-",SUV (5 deurs),Elektriciteit
BMW,i4 Elektrisch,"€ 749,-",Hatchback (5 deurs),Elektriciteit
BMW,iX2 Elektrisch,"€ 749,-",-,-
Subaru,Solterra Elektrisch,"€ 769,-",SUV (5 deurs),Elektriciteit
Peugeot,508 SW PHEV,"€ 769,-",Stationwagen (5 deurs),Elektriciteit / benzine
Volvo,V60 MHEV,"€ 789,-",Stationwagen (5 deurs),Benzine
Toyota,RAV4 PHEV,"€ 789,-",SUV (5 deurs),Elektriciteit / benzine
BMW,3 Serie Touring PHEV,"€ 789,-",Stationwagen (5 deurs),Elektriciteit / benzine
Xpeng,G9 Elektrisch,"€ 799,-",SUV (5 deurs),Elektriciteit
